;1960;1970;1980;1990;2000;2010;2020;2030;2040;2050;2060;2070;2080;2090
OBSERVATION;30;13;28;19;24;20;NA;NA;NA;NA;NA;NA;NA;NA
GFDL-ESM2M hist_rcp2p6;23;16;26;17;27;24;11;19;21;24;7;25;9;12
GFDL-ESM2M hist_rcp4p5;24;16;27;18;15;34;25;13;16;15;18;16;15;16
GFDL-ESM2M hist_rcp6p0;24;17;27;18;23;26;13;17;21;24;28;11;16;25
GFDL-ESM2M hist_rcp8p5;24;16;26;18;25;25;16;22;22;20;14;7;9;15
HadGEM2-ES hist_rcp2p6;19;24;25;16;28;22;20;28;16;12;24;17;20;23
HadGEM2-ES hist_rcp4p5;19;25;25;16;24;25;28;18;25;20;11;26;19;19
HadGEM2-ES hist_rcp6p0;19;25;25;16;23;26;19;17;18;26;15;12;16;18
HadGEM2-ES hist_rcp8p5;19;24;24;16;23;28;19;18;24;17;20;23;16;18
IPSL-CM5A-LR hist_rcp2p6;25;29;17;19;30;15;25;22;11;16;21;17;19;25
IPSL-CM5A-LR hist_rcp4p5;24;28;16;19;25;21;15;18;19;18;13;16;10;12
IPSL-CM5A-LR hist_rcp6p0;25;29;17;19;27;16;23;14;18;15;9;15;11;12
IPSL-CM5A-LR hist_rcp8p5;24;28;16;18;27;21;14;21;11;16;9;6;4;6
MIROC-ESM-CHEM hist_rcp2p6;22;16;21;29;20;25;17;14;12;17;23;19;23;16
MIROC-ESM-CHEM hist_rcp4p5;22;16;22;29;26;19;22;20;12;17;16;7;19;10
MIROC-ESM-CHEM hist_rcp6p0;21;15;20;27;25;26;27;22;15;16;17;18;10;13
MIROC-ESM-CHEM hist_rcp8p5;23;17;23;30;21;20;15;12;16;7;14;12;7;9
NorESM1-M hist_rcp2p6;26;30;28;12;21;17;18;23;13;18;12;17;15;29
NorESM1-M hist_rcp4p5;24;28;26;11;24;20;18;16;9;11;12;14;9;7
NorESM1-M hist_rcp6p0;25;29;27;12;22;18;22;11;25;17;19;18;6;7
NorESM1-M hist_rcp8p5;24;28;26;11;18;27;12;17;6;15;17;13;8;1
Avg;23;23;23;19;24;23;19;18;17;17;16;15;13;15
Max;26;30;28;30;30;34;28;28;25;26;28;26;23;29
Min;19;15;16;11;15;15;11;11;6;7;7;6;4;1
