"","date","real","model"
"1",1960-01-01,1910,2027.32925324027
"2",1960-01-02,1740,1948.73808088099
"3",1960-01-03,1580,1871.98029280676
"4",1960-01-04,1540,1871.62620919746
"5",1960-01-05,1540,1942.20913051593
"6",1960-01-06,1700,2033.43933692448
"7",1960-01-07,1640,2080.1391574529
"8",1960-01-08,1680,2104.13463632554
"9",1960-01-09,1670,1967.4187098065
"10",1960-01-10,1650,1782.73500444807
"11",1960-01-11,1590,1610.61736502794
"12",1960-01-12,1450,1446.64068243222
"13",1960-01-13,1280,1309.93848641717
"14",1960-01-14,1260,1211.02738644004
"15",1960-01-15,1180,1137.82982832583
"16",1960-01-16,1060,1076.06006650927
"17",1960-01-17,1020,1021.64979944441
"18",1960-01-18,1000,972.905116491947
"19",1960-01-19,1010,928.567168372732
"20",1960-01-20,999,887.970640061525
"21",1960-01-21,1000,851.550323307551
"22",1960-01-22,1010,817.780307887223
"23",1960-01-23,1020,787.412672618718
"24",1960-01-24,1060,761.253679740293
"25",1960-01-25,1070,746.13869181283
"26",1960-01-26,1080,736.218088002252
"27",1960-01-27,1130,726.90937486931
"28",1960-01-28,1030,742.132035524483
"29",1960-01-29,1150,782.239116642649
"30",1960-01-30,1380,884.386590676893
"31",1960-01-31,1570,1106.30352810892
"32",1960-02-01,1530,1263.46451930588
"33",1960-02-02,1450,1267.36496658197
"34",1960-02-03,1330,1182.35655767673
"35",1960-02-04,1280,1074.31211603868
"36",1960-02-05,1240,989.634995948134
"37",1960-02-06,1210,929.149809863296
"38",1960-02-07,1170,885.583142658759
"39",1960-02-08,1120,857.264879509014
"40",1960-02-09,1080,838.631393893915
"41",1960-02-10,1020,808.83105882494
"42",1960-02-11,1050,773.114558079542
"43",1960-02-12,1040,744.201137850042
"44",1960-02-13,1040,743.28258600957
"45",1960-02-14,1050,747.389295965593
"46",1960-02-15,1080,730.383563396767
"47",1960-02-16,1030,715.639728736783
"48",1960-02-17,1020,701.052031049303
"49",1960-02-18,1020,696.262525639101
