"","date","real","model"
"1",1960-01-01,1910,1231.46818789005
"2",1960-01-02,1740,1205.02794597739
"3",1960-01-03,1580,1195.8968307192
"4",1960-01-04,1540,1221.87407575534
"5",1960-01-05,1540,1302.93314414105
"6",1960-01-06,1700,1415.16750875758
"7",1960-01-07,1640,1507.56432312398
"8",1960-01-08,1680,1608.93522145344
"9",1960-01-09,1670,1636.77851529145
"10",1960-01-10,1650,1616.19600638007
"11",1960-01-11,1590,1543.86814663242
"12",1960-01-12,1450,1405.45169460101
"13",1960-01-13,1280,1259.54443606523
"14",1960-01-14,1260,1138.78382152279
"15",1960-01-15,1180,1047.44028724808
"16",1960-01-16,1060,976.812801238608
"17",1960-01-17,1020,920.552439246654
"18",1960-01-18,1000,873.649136073747
"19",1960-01-19,1010,832.736679210808
"20",1960-01-20,999,795.987429703015
"21",1960-01-21,1000,765.48495557153
"22",1960-01-22,1010,738.40731923187
"23",1960-01-23,1020,723.85879900652
"24",1960-01-24,1060,744.097413982877
"25",1960-01-25,1070,766.58885426977
"26",1960-01-26,1080,782.758604029898
"27",1960-01-27,1130,788.699396012755
"28",1960-01-28,1030,817.361714491038
"29",1960-01-29,1150,873.252970896451
"30",1960-01-30,1380,985.550193581274
"31",1960-01-31,1570,1280.65738913367
"32",1960-02-01,1530,1489.91024845911
"33",1960-02-02,1450,1471.11731721672
"34",1960-02-03,1330,1367.46799145802
"35",1960-02-04,1280,1233.90494846722
"36",1960-02-05,1240,1116.85088300467
"37",1960-02-06,1210,1024.43190301389
"38",1960-02-07,1170,967.091726962952
"39",1960-02-08,1120,939.31527622726
"40",1960-02-09,1080,914.946181042008
"41",1960-02-10,1020,870.21043497775
"42",1960-02-11,1050,820.232230389992
"43",1960-02-12,1040,778.737677313358
"44",1960-02-13,1040,758.222080121982
"45",1960-02-14,1050,763.015264492948
"46",1960-02-15,1080,775.441911934746
"47",1960-02-16,1030,793.526528605114
"48",1960-02-17,1020,791.575324227826
"49",1960-02-18,1020,792.831120934261
"50",1960-02-19,1020,804.898957929525
"51",1960-02-20,1020,802.261297443647
"52",1960-02-21,1030,810.197225688782
"53",1960-02-22,1050,825.329141368494
"54",1960-02-23,1060,850.822998210254
"55",1960-02-24,1090,948.139714161364
"56",1960-02-25,1260,1028.26335122707
"57",1960-02-26,1490,1122.83462382101
"58",1960-02-27,1660,1247.64994932515
"59",1960-02-28,2400,1521.7356947142
"60",1960-02-29,2670,1910.97822133847
"61",1960-03-01,2830,2134.64063539483
"62",1960-03-02,3050,2231.31951961963
"63",1960-03-03,3550,2424.9014625993
"64",1960-03-04,3360,2637.99508436416
"65",1960-03-05,3260,2827.0984533359
"66",1960-03-06,3470,2998.71807553322
