;1960;1970;1980;1990;2000;2010;2020;2030;2040;2050;2060;2070;2080;2090
OBSERVATION;23;21;31;25;20;25;6;NA;NA;NA;NA;NA;NA;NA
GFDL-ESM2M hist_rcp2p6;19;20;26;10;30;23;17;16;29;21;30;40;24;34
GFDL-ESM2M hist_rcp4p5;19;20;26;10;27;27;13;18;20;26;24;25;26;30
GFDL-ESM2M hist_rcp6p0;19;20;26;10;26;29;21;16;14;24;27;17;19;14
GFDL-ESM2M hist_rcp8p5;18;19;24;9;28;32;15;25;24;18;15;9;8;28
HadGEM2-ES hist_rcp2p6;4;25;24;22;25;28;14;27;17;18;21;15;27;16
HadGEM2-ES hist_rcp4p5;4;26;24;23;25;28;25;17;17;15;11;16;26;17
HadGEM2-ES hist_rcp6p0;4;27;25;24;24;25;24;11;15;39;21;16;16;18
HadGEM2-ES hist_rcp8p5;4;27;25;24;20;29;19;23;27;20;18;22;19;13
IPSL-CM5A-LR hist_rcp2p6;26;18;15;19;26;24;20;22;19;25;30;22;37;24
IPSL-CM5A-LR hist_rcp4p5;25;17;15;18;25;29;26;20;17;17;21;17;17;17
IPSL-CM5A-LR hist_rcp6p0;27;19;16;20;29;20;26;31;27;27;15;24;23;16
IPSL-CM5A-LR hist_rcp8p5;26;18;15;19;30;22;25;25;19;27;12;10;10;13
MIROC-ESM-CHEM hist_rcp2p6;22;14;23;19;28;23;24;34;19;25;38;47;35;30
MIROC-ESM-CHEM hist_rcp4p5;20;13;22;18;34;24;21;26;22;29;22;11;44;25
MIROC-ESM-CHEM hist_rcp6p0;20;13;22;18;25;31;19;32;23;35;34;47;24;27
MIROC-ESM-CHEM hist_rcp8p5;22;14;23;19;26;25;36;17;37;30;35;27;20;13
NorESM1-M hist_rcp2p6;16;17;37;9;34;16;19;29;20;19;26;21;26;42
NorESM1-M hist_rcp4p5;16;17;37;9;31;21;12;32;13;23;15;17;29;9
NorESM1-M hist_rcp6p0;16;17;37;9;26;26;16;13;13;23;21;27;18;7
NorESM1-M hist_rcp8p5;15;16;35;8;32;23;14;29;18;23;17;22;15;13
Mean;17;19;25;16;27;25;20;23;21;24;23;23;23;20
Max;27;27;37;24;34;32;36;34;37;39;38;47;44;42
Min;4;13;15;8;20;16;12;11;13;15;11;9;8;7
