,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090
OBSERVATION,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
GFDL-ESM2M hist_rcp2p6,9,11,12,5,24,14,5,10,20,15,10,18,17,13
GFDL-ESM2M hist_rcp4p5,9,11,12,5,20,15,11,4,11,15,9,14,14,12
GFDL-ESM2M hist_rcp6p0,9,11,12,5,18,18,7,4,11,13,18,10,10,15
GFDL-ESM2M hist_rcp8p5,9,11,12,5,24,15,16,10,14,14,14,12,6,13
HadGEM2-ES hist_rcp2p6,10,24,17,17,23,27,10,17,16,20,20,20,20,29
HadGEM2-ES hist_rcp4p5,10,24,17,17,24,29,23,19,8,20,8,28,31,16
HadGEM2-ES hist_rcp6p0,10,24,17,17,22,22,22,10,25,29,15,15,29,25
HadGEM2-ES hist_rcp8p5,10,24,17,17,19,29,28,31,23,11,26,30,24,23
IPSL-CM5A-LR hist_rcp2p6,15,11,9,9,14,15,15,17,13,22,25,15,23,16
IPSL-CM5A-LR hist_rcp4p5,15,11,9,9,14,24,9,11,10,20,17,15,10,14
IPSL-CM5A-LR hist_rcp6p0,15,11,9,9,16,13,23,14,14,22,18,15,16,5
IPSL-CM5A-LR hist_rcp8p5,15,11,9,9,17,14,19,17,12,24,12,11,13,12
MIROC-ESM-CHEM hist_rcp2p6,14,13,11,16,18,18,10,21,8,15,19,22,11,21
MIROC-ESM-CHEM hist_rcp4p5,14,13,11,16,23,13,9,14,10,23,13,8,33,18
MIROC-ESM-CHEM hist_rcp6p0,14,13,11,16,22,9,10,18,13,25,20,31,14,18
MIROC-ESM-CHEM hist_rcp8p5,14,13,11,16,20,15,15,12,19,20,23,22,17,8
NorESM1-M hist_rcp2p6,11,8,15,2,18,4,6,18,3,14,9,14,19,23
NorESM1-M hist_rcp4p5,11,8,15,2,18,13,7,16,10,8,8,10,9,6
NorESM1-M hist_rcp6p0,11,8,15,2,15,13,13,8,6,7,8,8,12,9
NorESM1-M hist_rcp8p5,11,8,15,2,21,13,7,19,10,8,13,12,11,10
