;1960;1970;1980;1990;2000;2010;2020;2030;2040;2050;2060;2070;2080;2090
OBSERVATION;NA;NA;NA;NA;277;586;NA;NA;NA;NA;NA;NA;NA;NA
GFDL-ESM2M hist_rcp2p6;650;547;756;595;451;485;337;482;290;353;386;292;526;286
GFDL-ESM2M hist_rcp4p5;650;547;756;595;725;222;422;658;568;821;451;698;411;993
GFDL-ESM2M hist_rcp6p0;650;547;756;595;585;416;501;377;332;475;95;613;854;709
GFDL-ESM2M hist_rcp8p5;650;547;756;595;402;522;366;628;719;817;773;1002;1326;659
HadGEM2-ES hist_rcp2p6;913;233;397;421;507;447;1004;820;740;394;595;884;805;794
HadGEM2-ES hist_rcp4p5;913;233;397;421;529;294;623;535;923;1056;1235;636;555;980
HadGEM2-ES hist_rcp6p0;913;233;397;421;833;348;840;645;287;626;792;969;779;949
HadGEM2-ES hist_rcp8p5;913;233;397;421;610;424;637;533;697;954;830;1077;1288;1427
IPSL-CM5A-LR hist_rcp2p6;409;1006;810;584;177;374;493;472;450;389;280;320;152;275
IPSL-CM5A-LR hist_rcp4p5;409;1006;810;584;191;402;380;494;343;398;490;610;669;605
IPSL-CM5A-LR hist_rcp6p0;409;1006;810;584;189;407;164;221;726;141;560;551;780;711
IPSL-CM5A-LR hist_rcp8p5;409;1006;810;584;166;444;141;237;532;303;812;1266;1283;1547
MIROC-ESM-CHEM hist_rcp2p6;360;407;619;437;319;393;497;377;520;385;252;131;193;78
MIROC-ESM-CHEM hist_rcp4p5;360;407;619;437;218;246;345;363;366;208;384;656;28;389
MIROC-ESM-CHEM hist_rcp6p0;360;407;619;437;343;281;175;108;320;133;339;72;324;336
MIROC-ESM-CHEM hist_rcp8p5;360;407;619;437;166;291;28;301;281;321;207;178;430;614
NorESM1-M hist_rcp2p6;512;349;437;889;497;475;574;510;466;393;325;585;398;157
NorESM1-M hist_rcp4p5;512;349;437;889;517;359;688;416;721;726;830;524;863;774
NorESM1-M hist_rcp6p0;512;349;437;889;539;393;461;417;550;510;417;467;1152;949
NorESM1-M hist_rcp8p5;512;349;437;889;476;425;874;402;694;491;537;855;1102;992
