"";"1960";"1970";"1980";"1990";"2000";"2010";"2020";"2030";"2040";"2050";"2060";"2070";"2080";"2090"
"OBSERVATION";NA;NA;NA;NA;277;586;NA;NA;NA;NA;NA;NA;NA;NA
"GFDL-ESM2M hist_rcp2p6";599,305555555556;504,338675213675;697,038461538462;548,595085470085;415,825854700855;447,174145299145;310,71688034188;444,40811965812;267,382478632479;325,469017094017;355,895299145299;269,226495726496;484,976495726496;263,694444444444
"GFDL-ESM2M hist_rcp4p5";592,34424498416;498,480464625132;688,9419218585;542,222808870116;660,691657866948;202,308342133052;384,568109820486;599,634635691658;517,617740232312;748,176346356916;410,995776135164;636,086589229145;374,543822597677;904,91974656811
"GFDL-ESM2M hist_rcp6p0";560,38961038961;471,589410589411;651,776223776224;512,972027972028;504,350649350649;358,649350649351;431,931068931069;325,025974025974;286,22977022977;409,515484515485;81,9030969030969;528,490509490509;736,265734265734;611,255744255744
"GFDL-ESM2M hist_rcp8p5";607,088744588745;510,888528138528;706,090909090909;555,719696969697;375,461038961039;487,538961038961;341,837662337662;586,541125541126;671,53354978355;763,063852813853;721,968614718615;935,850649350649;1238,46103896104;615,494588744589
"HadGEM2-ES hist_rcp2p6";825,910901467505;210,77463312369;359,131027253669;380,841719077568;458,638364779874;404,361635220126;908,230607966457;741,781970649895;669,412997903564;356,417190775681;538,244234800839;799,67714884696;728,212788259958;718,262054507337
"HadGEM2-ES hist_rcp4p5";957,374240583232;244,324422843256;416,295261239368;441,461725394897;554,710814094775;308,289185905225;653,279465370595;561,002430133657;967,860267314702;1107,32442284326;1295,02430133657;666,911300121507;581,974483596598;1027,63061968408
"HadGEM2-ES hist_rcp6p0";667,162574089754;170,261642675699;290,102455546147;307,640135478408;608,703640982219;254,296359017782;613,818797629128;471,325148179509;209,721422523285;457,441151566469;578,743437764606;708,08382726503;569,243861134632;693,469093988146
"HadGEM2-ES hist_rcp8p5";762,010638297872;194,467117988395;331,345261121857;351,376208897486;509,119922630561;353,880077369439;531,654738878143;444,853965183752;581,732108317215;796,230174081238;692,736943907157;898,888781431335;1074,99419729207;1191,00676982592
"IPSL-CM5A-LR hist_rcp2p6";640,593466424682;1575,64065335753;1268,65698729583;914,686025408349;277,225045372051;585,774954627949;772,157894736842;739,266787658802;704,80943738657;609,268602540835;438,548094373866;501,197822141561;238,068965517241;430,716878402904
"IPSL-CM5A-LR hist_rcp4p5";595,222596964587;1464,04384485666;1178,80269814503;849,902192242833;277,964586846543;585,035413153457;553,018549747049;718,924114671164;499,172006745363;579,214165261383;713,102866779089;887,740303541315;973,60370994941;880,463743676223
"IPSL-CM5A-LR hist_rcp6p0";592,226510067114;1456,6744966443;1172,86912751678;845,624161073826;273,669463087248;589,330536912752;237,469798657718;320,005033557047;1051,23825503356;204,16610738255;810,872483221477;797,840604026846;1129,42953020134;1029,51845637584
"IPSL-CM5A-LR hist_rcp8p5";578,634426229508;1423,24262295082;1145,95081967213;826,216393442623;234,849180327869;628,150819672131;199,480327868852;335,296721311475;752,649180327869;428,670491803279;1148,78032786885;1791,07868852459;1815,12950819672;2188,62459016393
"MIROC-ESM-CHEM hist_rcp2p6";436,348314606742;493,316011235955;750,276685393258;529,678370786517;386,65308988764;476,34691011236;602,40308988764;456,953651685393;630,280898876404;466,650280898876;305,443820224719;158,782303370787;233,931179775281;94,5421348314607
"MIROC-ESM-CHEM hist_rcp4p5";669,568965517241;756,984913793103;1151,28663793103;812,782327586207;405,461206896552;457,538793103448;641,67025862069;675,148706896552;680,728448275862;386,862068965517;714,206896551724;1220,10344827586;52,0775862068965;723,506465517241
"MIROC-ESM-CHEM hist_rcp6p0";497,884615384615;562,886217948718;856,084935897436;604,376602564103;474,373397435897;388,626602564103;242,027243589744;149,365384615385;442,564102564103;183,940705128205;468,841346153846;99,5769230769231;448,096153846154;464,692307692308
"MIROC-ESM-CHEM hist_rcp8p5";679,824945295405;768,579868708972;1168,92122538293;825,231947483589;313,474835886214;549,525164113786;52,8752735229759;568,409190371991;530,64113785558;606,177242888403;390,899343544858;336,135667396061;812,013129102845;1159,47921225383
"NorESM1-M hist_rcp2p6";454,584362139918;309,86316872428;387,994855967078;789,307613168724;441,26646090535;421,73353909465;509,631687242798;452,808641975309;413,742798353909;348,929012345679;288,554526748971;519,398148148148;353,368312757202;139,394032921811
"NorESM1-M hist_rcp4p5";504,401826484018;343,820776255708;430,514840182648;875,807077625571;509,327625570776;353,672374429224;677,7899543379;409,826484018265;710,300228310502;715,22602739726;817,682648401826;516,223744292237;850,192922374429;762,513698630137
"NorESM1-M hist_rcp6p0";474,094420600858;323,162017167382;404,646995708155;823,18347639485;499,095493562232;363,904506437768;426,87017167382;386,127682403433;509,281115879828;472,242489270386;386,127682403433;432,425965665236;1066,71244635193;878,741416309013
"NorESM1-M hist_rcp8p5";490,406215316315;334,280799112098;418,569367369589;851,506104328524;455,924528301887;407,075471698113;837,138734739179;385,045504994451;664,730299667037;470,291897891232;514,351831298557;818,940066592675;1055,52275249723;950,162042175361
