;1960;1970;1980;1990;2000;2010;2020;2030;2040;2050;2060;2070;2080;2090
GFDL-ESM2M hist_rcp2p6;599;504;697;549;416;447;311;444;267;325;356;269;485;264
GFDL-ESM2M hist_rcp4p5;592;498;689;542;661;202;385;600;518;748;411;636;375;905
GFDL-ESM2M hist_rcp6p0;560;472;652;513;504;359;432;325;286;410;82;528;736;611
GFDL-ESM2M hist_rcp8p5;607;511;706;556;375;488;342;587;672;763;722;936;1238;615
HadGEM2-ES hist_rcp2p6;826;211;359;381;459;404;908;742;669;356;538;800;728;718
HadGEM2-ES hist_rcp4p5;957;244;416;441;555;308;653;561;968;1107;1295;667;582;1028
HadGEM2-ES hist_rcp6p0;667;170;290;308;609;254;614;471;210;457;579;708;569;693
HadGEM2-ES hist_rcp8p5;762;194;331;351;509;354;532;445;582;796;693;899;1075;1191
IPSL-CM5A-LR hist_rcp2p6;641;1576;1269;915;277;586;772;739;705;609;439;501;238;431
IPSL-CM5A-LR hist_rcp4p5;595;1464;1179;850;278;585;553;719;499;579;713;888;974;880
IPSL-CM5A-LR hist_rcp6p0;592;1457;1173;846;274;589;237;320;1051;204;811;798;1129;1030
IPSL-CM5A-LR hist_rcp8p5;579;1423;1146;826;235;628;199;335;753;429;1149;1791;1815;2189
MIROC-ESM-CHEM hist_rcp2p6;436;493;750;530;387;476;602;457;630;467;305;159;234;95
MIROC-ESM-CHEM hist_rcp4p5;670;757;1151;813;405;458;642;675;681;387;714;1220;52;724
MIROC-ESM-CHEM hist_rcp6p0;498;563;856;604;474;389;242;149;443;184;469;100;448;465
MIROC-ESM-CHEM hist_rcp8p5;680;769;1169;825;313;550;53;568;531;606;391;336;812;1159
NorESM1-M hist_rcp2p6;455;310;388;789;441;422;510;453;414;349;289;519;353;139
NorESM1-M hist_rcp4p5;504;344;431;876;509;354;678;410;710;715;818;516;850;763
NorESM1-M hist_rcp6p0;474;323;405;823;499;364;427;386;509;472;386;432;1067;879
NorESM1-M hist_rcp8p5;490;334;419;852;456;407;837;385;665;470;514;819;1056;950
MEAN;609;631;724;659;432;431;496;489;588;522;584;676;741;786
MAX;957;1576;1269;915;661;628;908;742;1051;1107;1295;1791;1815;2189
MIN;436;170;290;308;235;202;53;149;210;184;82;100;52;95
