DATE;Q(m3/s);H (cm);H(masl)
2004-01-01;1620;29;74,26
2004-01-02;1620;27;74,24
2004-01-03;1630;30;74,27
2004-01-04;1650;34;74,31
2004-01-05;1700;45;74,42
2004-01-06;1710;48;74,45
2004-01-07;1700;45;74,42
2004-01-08;1690;42;74,39
2004-01-09;1640;33;74,3
2004-01-10;1620;28;74,25
2004-01-11;1570;17;74,14
2004-01-12;1550;13;74,1
2004-01-13;1590;22;74,19
2004-01-14;1640;32;74,29
2004-01-15;1720;49;74,46
2004-01-16;1920;88;74,85
2004-01-17;2340;161;75,58
2004-01-18;2880;240;76,37
2004-01-19;3280;292;76,89
2004-01-20;3470;316;77,13
2004-01-21;3530;323;77,2
2004-01-22;3520;322;77,19
2004-01-23;3410;309;77,06
2004-01-24;3250;289;76,86
2004-01-25;3060;265;76,62
2004-01-26;2890;241;76,38
2004-01-27;2720;218;76,15
2004-01-28;2550;193;75,9
2004-01-29;2410;171;75,68
2004-01-30;2260;148;75,45
2004-01-31;2190;136;75,33
2004-02-01;2120;125;75,22
2004-02-02;2080;117;75,14
2004-02-03;2070;115;75,12
2004-02-04;2030;108;75,05
2004-02-05;2020;107;75,04
2004-02-06;2120;125;75,22
2004-02-07;2410;171;75,68
2004-02-08;2790;228;76,25
2004-02-09;3090;268;76,65
2004-02-10;3220;285;76,82
2004-02-11;3300;295;76,92
2004-02-12;3320;298;76,95
2004-02-13;3300;295;76,92
2004-02-14;3240;287;76,84
2004-02-15;3140;275;76,72
2004-02-16;3040;262;76,59
2004-02-17;2910;244;76,41
2004-02-18;2780;226;76,23
2004-02-19;2670;211;76,08
2004-02-20;2620;204;76,01
2004-02-21;2580;197;75,94
2004-02-22;2540;191;75,88
2004-02-23;2500;185;75,82
2004-02-24;2410;171;75,68
2004-02-25;2350;162;75,59
2004-02-26;2300;154;75,51
2004-02-27;2310;156;75,53
2004-02-28;2380;167;75,64
2004-02-29;2420;174;75,71
2004-03-01;2450;178;75,75
2004-03-02;2440;177;75,74
2004-03-03;2410;171;75,68
2004-03-04;2390;169;75,66
2004-03-05;2350;162;75,59
2004-03-06;2300;155;75,52
2004-03-07;2280;151;75,48
2004-03-08;2260;148;75,45
2004-03-09;2200;137;75,34
2004-03-10;2140;127;75,24
2004-03-11;2100;121;75,18
2004-03-12;2080;117;75,14
2004-03-13;2070;115;75,12
2004-03-14;2080;117;75,14
2004-03-15;2100;120;75,17
2004-03-16;2100;121;75,18
2004-03-17;2120;125;75,22
2004-03-18;2200;138;75,35
2004-03-19;2390;168;75,65
2004-03-20;2560;195;75,92
2004-03-21;2850;236;76,33
2004-03-22;3100;270;76,67
2004-03-23;3320;298;76,95
2004-03-24;3530;323;77,2
2004-03-25;3690;342;77,39
2004-03-26;3830;358;77,55
2004-03-27;4000;377;77,74
2004-03-28;4160;395;77,92
2004-03-29;4290;409;78,06
2004-03-30;4390;419;78,16
2004-03-31;4390;419;78,16
2004-04-01;4320;412;78,09
2004-04-02;4190;398;77,95
2004-04-03;4050;383;77,8
2004-04-04;3900;366;77,63
2004-04-05;3790;354;77,51
2004-04-06;3740;348;77,45
2004-04-07;3730;347;77,44
2004-04-08;3740;348;77,45
2004-04-09;3810;356;77,53
2004-04-10;3900;366;77,63
2004-04-11;3960;373;77,7
2004-04-12;4020;379;77,76
2004-04-13;4000;377;77,74
2004-04-14;3930;370;77,67
2004-04-15;3850;361;77,58
2004-04-16;3830;358;77,55
2004-04-17;3830;358;77,55
2004-04-18;3790;354;77,51
2004-04-19;3730;347;77,44
2004-04-20;3630;335;77,32
2004-04-21;3490;319;77,16
2004-04-22;3450;314;77,11
2004-04-23;3450;314;77,11
2004-04-24;3450;314;77,11
2004-04-25;3460;315;77,12
2004-04-26;3470;316;77,13
2004-04-27;3450;313;77,1
2004-04-28;3470;316;77,13
2004-04-29;3550;326;77,23
2004-04-30;3540;325;77,22
2004-05-01;3390;306;77,03
2004-05-02;3300;295;76,92
2004-05-03;3240;288;76,85
2004-05-04;3230;286;76,83
2004-05-05;3240;288;76,85
2004-05-06;3280;293;76,9
2004-05-07;3300;295;76,92
2004-05-08;3310;296;76,93
2004-05-09;3310;296;76,93
2004-05-10;3300;295;76,92
2004-05-11;3270;291;76,88
2004-05-12;3200;283;76,8
2004-05-13;3100;270;76,67
2004-05-14;2970;252;76,49
2004-05-15;2890;241;76,38
2004-05-16;2800;229;76,26
2004-05-17;2780;227;76,24
2004-05-18;2830;233;76,3
2004-05-19;2920;245;76,42
2004-05-20;3000;256;76,53
2004-05-21;3010;258;76,55
2004-05-22;2970;252;76,49
2004-05-23;2920;246;76,43
2004-05-24;2990;255;76,52
2004-05-25;3090;268;76,65
2004-05-26;3180;280;76,77
2004-05-27;3220;285;76,82
2004-05-28;3120;272;76,69
2004-05-29;2960;251;76,48
2004-05-30;2860;238;76,35
2004-05-31;2860;237;76,34
2004-06-01;2850;236;76,33
2004-06-02;2840;235;76,32
2004-06-03;2860;237;76,34
2004-06-04;2890;241;76,38
2004-06-05;2840;235;76,32
2004-06-06;2920;246;76,43
2004-06-07;3210;284;76,81
2004-06-08;3540;325;77,22
2004-06-09;3870;363;77,6
2004-06-10;4050;383;77,8
2004-06-11;4140;393;77,9
2004-06-12;4160;395;77,92
2004-06-13;4140;392;77,89
2004-06-14;4070;385;77,82
2004-06-15;4030;380;77,77
2004-06-16;4070;385;77,82
2004-06-17;4140;392;77,89
2004-06-18;4190;398;77,95
2004-06-19;4140;392;77,89
2004-06-20;4020;379;77,76
2004-06-21;3850;360;77,57
2004-06-22;3690;342;77,39
2004-06-23;3580;329;77,26
2004-06-24;3630;335;77,32
2004-06-25;3880;364;77,61
2004-06-26;4020;379;77,76
2004-06-27;4030;381;77,78
2004-06-28;4030;380;77,77
2004-06-29;4030;380;77,77
2004-06-30;4030;380;77,77
2004-07-01;4020;379;77,76
2004-07-02;3980;375;77,72
2004-07-03;3980;375;77,72
2004-07-04;3970;374;77,71
2004-07-05;3930;369;77,66
2004-07-06;3850;360;77,57
2004-07-07;3780;352;77,49
2004-07-08;3710;344;77,41
2004-07-09;3550;326;77,23
2004-07-10;3420;310;77,07
2004-07-11;3320;297;76,94
2004-07-12;3300;295;76,92
2004-07-13;3330;299;76,96
2004-07-14;3420;310;77,07
2004-07-15;3460;315;77,12
2004-07-16;3450;313;77,1
2004-07-17;3320;298;76,95
2004-07-18;3260;290;76,87
2004-07-19;3160;278;76,75
2004-07-20;3130;274;76,71
2004-07-21;3120;272;76,69
2004-07-22;3060;265;76,62
2004-07-23;2950;250;76,47
2004-07-24;2860;237;76,34
2004-07-25;2810;231;76,28
2004-07-26;2850;236;76,33
2004-07-27;2870;239;76,36
2004-07-28;2810;230;76,27
2004-07-29;2810;231;76,28
2004-07-30;2940;248;76,45
2004-07-31;3010;258;76,55
2004-08-01;3030;260;76,57
2004-08-02;2980;254;76,51
2004-08-03;2880;240;76,37
2004-08-04;2760;223;76,2
2004-08-05;2610;202;75,99
2004-08-06;2480;183;75,8
2004-08-07;2360;164;75,61
2004-08-08;2290;152;75,49
2004-08-09;2260;148;75,45
2004-08-10;2250;146;75,43
2004-08-11;2210;139;75,36
2004-08-12;2180;135;75,32
2004-08-13;2180;134;75,31
2004-08-14;2160;131;75,28
2004-08-15;2110;122;75,19
2004-08-16;2040;110;75,07
2004-08-17;2000;104;75,01
2004-08-18;2020;106;75,03
2004-08-19;2070;116;75,13
2004-08-20;2140;127;75,24
2004-08-21;2200;138;75,35
2004-08-22;2160;131;75,28
2004-08-23;2150;129;75,26
2004-08-24;2150;130;75,27
2004-08-25;2140;127;75,24
2004-08-26;2150;130;75,27
2004-08-27;2160;131;75,28
2004-08-28;2200;138;75,35
2004-08-29;2230;142;75,39
2004-08-30;2250;146;75,43
2004-08-31;2390;169;75,66
2004-09-01;2550;193;75,9
2004-09-02;2580;198;75,95
2004-09-03;2580;198;75,95
2004-09-04;2570;196;75,93
2004-09-05;2560;194;75,91
2004-09-06;2510;187;75,84
2004-09-07;2420;174;75,71
2004-09-08;2350;162;75,59
2004-09-09;2260;147;75,44
2004-09-10;2170;133;75,3
2004-09-11;2110;122;75,19
2004-09-12;2040;110;75,07
2004-09-13;1990;102;74,99
2004-09-14;1900;85;74,82
2004-09-15;1830;71;74,68
2004-09-16;1770;60;74,57
2004-09-17;1810;67;74,64
2004-09-18;1820;70;74,67
2004-09-19;1890;82;74,79
2004-09-20;1940;92;74,89
2004-09-21;1980;100;74,97
2004-09-22;2000;104;75,01
2004-09-23;1950;94;74,91
2004-09-24;1920;89;74,86
2004-09-25;1850;76;74,73
2004-09-26;1850;75;74,72
2004-09-27;1990;101;74,98
2004-09-28;2240;144;75,41
2004-09-29;2560;194;75,91
2004-09-30;2710;217;76,14
2004-10-01;2760;223;76,2
2004-10-02;2710;217;76,14
2004-10-03;2580;197;75,94
2004-10-04;2500;185;75,82
2004-10-05;2470;181;75,78
2004-10-06;2420;174;75,71
2004-10-07;2390;169;75,66
2004-10-08;2320;158;75,55
2004-10-09;2210;140;75,37
2004-10-10;2120;125;75,22
2004-10-11;2080;117;75,14
2004-10-12;2020;107;75,04
2004-10-13;2060;113;75,1
2004-10-14;2190;136;75,33
2004-10-15;2330;159;75,56
2004-10-16;2310;156;75,53
2004-10-17;2300;154;75,51
2004-10-18;2290;152;75,49
2004-10-19;2260;147;75,44
2004-10-20;2230;142;75,39
2004-10-21;2270;149;75,46
2004-10-22;2270;150;75,47
2004-10-23;2270;149;75,46
2004-10-24;2240;144;75,41
2004-10-25;2240;144;75,41
2004-10-26;2240;144;75,41
2004-10-27;2220;141;75,38
2004-10-28;2190;136;75,33
2004-10-29;2140;127;75,24
2004-10-30;2100;121;75,18
2004-10-31;2100;120;75,17
2004-11-01;2110;122;75,19
2004-11-02;2150;129;75,26
2004-11-03;2200;137;75,34
2004-11-04;2270;150;75,47
2004-11-05;2340;161;75,58
2004-11-06;2350;163;75,6
2004-11-07;2340;160;75,57
2004-11-08;2310;156;75,53
2004-11-09;2290;152;75,49
2004-11-10;2230;142;75,39
2004-11-11;2220;141;75,38
2004-11-12;2170;133;75,3
2004-11-13;2170;133;75,3
2004-11-14;2250;146;75,43
2004-11-15;2340;160;75,57
2004-11-16;2390;169;75,66
2004-11-17;2480;183;75,8
2004-11-18;2490;184;75,81
2004-11-19;2480;183;75,8
2004-11-20;2430;175;75,72
2004-11-21;2380;167;75,64
2004-11-22;2380;167;75,64
2004-11-23;2430;175;75,72
2004-11-24;2440;177;75,74
2004-11-25;2410;172;75,69
2004-11-26;2410;172;75,69
2004-11-27;2500;185;75,82
2004-11-28;2630;205;76,02
2004-11-29;2740;221;76,18
2004-11-30;2750;222;76,19
2004-12-01;2610;202;75,99
2004-12-02;2520;188;75,85
2004-12-03;2440;177;75,74
2004-12-04;2400;170;75,67
2004-12-05;2420;173;75,7
2004-12-06;2440;177;75,74
2004-12-07;2450;178;75,75
2004-12-08;2420;174;75,71
2004-12-09;2350;163;75,6
2004-12-10;2320;157;75,54
2004-12-11;2290;152;75,49
2004-12-12;2270;149;75,46
2004-12-13;2230;142;75,39
2004-12-14;2200;137;75,34
2004-12-15;2120;125;75,22
2004-12-16;2070;115;75,12
2004-12-17;2030;109;75,06
2004-12-18;2020;106;75,03
2004-12-19;1990;101;74,98
2004-12-20;1980;100;74,97
2004-12-21;2000;104;75,01
2004-12-22;1980;99;74,96
2004-12-23;1970;97;74,94
2004-12-24;1940;92;74,89
2004-12-25;1920;88;74,85
2004-12-26;1890;83;74,8
2004-12-27;1880;80;74,77
2004-12-28;1840;73;74,7
2004-12-29;1840;73;74,7
2004-12-30;1890;83;74,8
2004-12-31;1990;102;74,99
2005-01-01;2110;123;75,2
2005-01-02;2180;134;75,31
2005-01-03;2240;144;75,41
2005-01-04;2190;136;75,33
2005-01-05;2120;125;75,22
2005-01-06;2100;120;75,17
2005-01-07;2100;121;75,18
2005-01-08;2170;133;75,3
2005-01-09;2230;142;75,39
2005-01-10;2290;152;75,49
2005-01-11;2370;165;75,62
2005-01-12;2420;173;75,7
2005-01-13;2410;172;75,69
2005-01-14;2360;164;75,61
2005-01-15;2310;156;75,53
2005-01-16;2280;151;75,48
2005-01-17;2240;144;75,41
2005-01-18;2180;135;75,32
2005-01-19;2130;126;75,23
2005-01-20;2080;118;75,15
2005-01-21;2060;114;75,11
2005-01-22;2030;108;75,05
2005-01-23;1990;102;74,99
2005-01-24;2040;111;75,08
2005-01-25;2210;139;75,36
2005-01-26;2430;175;75,72
2005-01-27;2510;187;75,84
2005-01-28;2520;189;75,86
2005-01-29;2520;188;75,85
2005-01-30;2470;181;75,78
2005-01-31;2370;165;75,62
2005-02-01;2240;144;75,41
2005-02-02;2090;119;75,16
2005-02-03;2040;111;75,08
2005-02-04;2020;106;75,03
2005-02-05;2010;105;75,02
2005-02-06;1980;99;74,96
2005-02-07;1960;96;74,93
2005-02-08;1970;98;74,95
2005-02-09;1980;100;74,97
2005-02-10;1970;98;74,95
2005-02-11;1920;88;74,85
2005-02-12;1860;77;74,74
2005-02-13;1830;72;74,69
2005-02-14;1850;75;74,72
2005-02-15;1920;89;74,86
2005-02-16;2260;148;75,45
2005-02-17;2800;229;76,26
2005-02-18;3200;283;76,8
2005-02-19;3440;312;77,09
2005-02-20;3520;322;77,19
2005-02-21;3460;315;77,12
2005-02-22;3270;291;76,88
2005-02-23;3080;267;76,64
2005-02-24;2920;245;76,42
2005-02-25;2760;224;76,21
2005-02-26;2690;214;76,11
2005-02-27;2680;212;76,09
2005-02-28;2620;204;76,01
2005-03-01;2580;198;75,95
2005-03-02;2530;190;75,87
2005-03-03;2470;181;75,78
2005-03-04;2400;170;75,67
2005-03-05;2300;155;75,52
2005-03-06;2190;136;75,33
2005-03-07;2100;120;75,17
2005-03-08;2060;113;75,1
2005-03-09;2060;114;75,11
2005-03-10;2080;117;75,14
2005-03-11;2060;114;75,11
2005-03-12;2030;108;75,05
2005-03-13;2030;108;75,05
2005-03-14;2040;111;75,08
2005-03-15;2070;115;75,12
2005-03-16;2100;121;75,18
2005-03-17;2180;134;75,31
2005-03-18;2290;152;75,49
2005-03-19;2400;170;75,67
2005-03-20;2560;194;75,91
2005-03-21;2900;243;76,4
2005-03-22;3450;313;77,1
2005-03-23;3980;375;77,72
2005-03-24;4370;417;78,14
2005-03-25;4580;439;78,36
2005-03-26;4740;455;78,52
2005-03-27;4870;468;78,65
2005-03-28;5010;481;78,78
2005-03-29;5190;498;78,95
2005-03-30;5310;510;79,07
2005-03-31;5400;518;79,15
2005-04-01;5500;527;79,24
2005-04-02;5540;531;79,28
2005-04-03;5590;535;79,32
2005-04-04;5630;539;79,36
2005-04-05;5640;540;79,37
2005-04-06;5630;539;79,36
2005-04-07;5550;532;79,29
2005-04-08;5430;521;79,18
2005-04-09;5250;504;79,01
2005-04-10;5030;483;78,8
2005-04-11;4790;460;78,57
2005-04-12;4610;442;78,39
2005-04-13;4500;430;78,27
2005-04-14;4450;425;78,22
2005-04-15;4440;424;78,21
2005-04-16;4410;421;78,18
2005-04-17;4330;413;78,1
2005-04-18;4200;399;77,96
2005-04-19;4060;384;77,81
2005-04-20;3980;375;77,72
2005-04-21;3960;373;77,7
2005-04-22;3970;374;77,71
2005-04-23;4080;386;77,83
2005-04-24;4250;404;78,01
2005-04-25;4390;419;78,16
2005-04-26;4510;431;78,28
2005-04-27;4530;434;78,31
2005-04-28;4510;432;78,29
2005-04-29;4470;427;78,24
2005-04-30;4470;427;78,24
2005-05-01;4530;434;78,31
2005-05-02;4600;441;78,38
2005-05-03;4640;445;78,42
2005-05-04;4640;445;78,42
2005-05-05;4620;443;78,4
2005-05-06;4560;437;78,34
2005-05-07;4510;432;78,29
2005-05-08;4510;431;78,28
2005-05-09;4550;436;78,33
2005-05-10;4590;440;78,37
2005-05-11;4630;444;78,41
2005-05-12;4630;444;78,41
2005-05-13;4630;444;78,41
2005-05-14;4610;442;78,39
2005-05-15;4550;436;78,33
2005-05-16;4430;423;78,2
2005-05-17;4280;408;78,05
2005-05-18;4100;388;77,85
2005-05-19;3930;369;77,66
2005-05-20;3780;353;77,5
2005-05-21;3740;348;77,45
2005-05-22;3840;359;77,56
2005-05-23;4010;378;77,75
2005-05-24;4140;393;77,9
2005-05-25;4140;392;77,89
2005-05-26;4060;384;77,81
2005-05-27;3990;376;77,73
2005-05-28;3980;375;77,72
2005-05-29;3930;370;77,67
2005-05-30;3870;363;77,6
