date OBS SIM
2018-01-01 3100 2150.17064082183
2018-01-02 3110 2156.45366167087
2018-01-03 3080 2116.21731480895
2018-01-04 3170 2077.50200210793
2018-01-05 3360 2040.99026645003
2018-01-06 3500 2042.49164969215
2018-01-07 3580 2119.66705149919
2018-01-08 3730 2234.73353076898
2018-01-09 3950 2398.69262327387
2018-01-10 4170 2694.5203079461
2018-01-11 4310 3146.51339097803
2018-01-12 4400 3631.33946495789
2018-01-13 4450 3958.3230617951
2018-01-14 4470 4001.08655532258
2018-01-15 4430 3861.37061150654
2018-01-16 4340 3649.01660843103
2018-01-17 4190 3396.73001541632
2018-01-18 3980 3154.65854780393
2018-01-19 3760 2931.94595071391
2018-01-20 3590 2719.98039365916
2018-01-21 3500 2549.42673356814
2018-01-22 3520 2438.41579157388
2018-01-23 3640 2433.99860486174
2018-01-24 3740 2570.38223181711
2018-01-25 3790 2769.50877837292
2018-01-26 3810 2921.80474723578
2018-01-27 3830 2933.50920801554
2018-01-28 3860 2837.04764129672
2018-01-29 3900 2688.61438032269
2018-01-30 3930 2597.17556227756
2018-01-31 3910 2618.51506381674
2018-02-01 3830 2685.39130627086
2018-02-02 3740 2725.58585023781
2018-02-03 3690 2750.78606199848
2018-02-04 3650 2796.31646879806
2018-02-05 3620 2836.54307605209
2018-02-06 3610 2776.10759981607
2018-02-07 3600 2667.30520512068
2018-02-08 3560 2578.45798554897
2018-02-09 3480 2516.49598541497
2018-02-10 3430 2449.57902737467
2018-02-11 3370 2339.318462539
2018-02-12 3320 2201.93649834072
2018-02-13 3250 2082.86292385478
2018-02-14 3160 1998.36707450543
2018-02-15 3070 1938.74505073206
2018-02-16 3000 1888.99065117231
2018-02-17 2960 1832.28916406232
2018-02-18 2950 1776.27768523663
2018-02-19 2910 1729.01732867526
2018-02-20 2910 1695.52980811198
2018-02-21 2930 1669.62015012037
2018-02-22 2980 1647.58913587742
2018-02-23 3010 1629.03262002329
2018-02-24 3030 1597.65183705792
2018-02-25 3020 1557.45700430094
2018-02-26 3000 1517.80351826281
2018-02-27 2950 1480.4246515402
2018-02-28 2860 1444.70120272947
2018-03-01 2770 1411.0833758808
2018-03-02 2700 1379.44748438448
2018-03-03 2640 1349.58437682774
2018-03-04 2590 1321.34846827898
2018-03-05 2540 1294.61484423699
2018-03-06 2510 1272.79491587524
2018-03-07 2490 1266.73279184169
2018-03-08 2500 1290.32660120108
2018-03-09 2550 1351.90751625116
2018-03-10 2650 1422.43987126114
2018-03-11 2790 1469.4531181356
2018-03-12 2930 1534.88408074184
2018-03-13 3050 1647.2927483048
2018-03-14 3160 1792.74718819602
2018-03-15 3260 1969.72529126027
2018-03-16 3410 2164.36404135408
2018-03-17 3580 2330.64145767051
2018-03-18 3670 2555.53093624558
2018-03-19 3710 2866.27965243507
2018-03-20 3790 3078.31847719305
2018-03-21 3880 3102.68577631599
2018-03-22 3930 3011.53587647313
2018-03-23 3910 2890.34984607688
2018-03-24 3830 2751.97310734458
2018-03-25 3740 2607.61763057718
2018-03-26 3630 2475.49670630146
2018-03-27 3480 2360.333858856
2018-03-28 3350 2247.59482990195
2018-03-29 3240 2141.56128780635
2018-03-30 3170 2056.32515776659
2018-03-31 3120 2016.0935489793
2018-04-01 3110 2088.53469726758
2018-04-02 3170 2258.09734936691
2018-04-03 3330 2434.57906923363
2018-04-04 3470 2605.4423154498
2018-04-05 3560 2714.44566684458
2018-04-06 3600 2790.43441971276
2018-04-07 3610 2886.97089970887
2018-04-08 3620 2964.7279686266
2018-04-09 3650 3002.09805833542
2018-04-10 3650 3006.59187885893
2018-04-11 3620 3021.85430634417
2018-04-12 3580 3066.73560523822
2018-04-13 3570 3104.057420971
2018-04-14 3580 3112.68216045256
2018-04-15 3620 3168.57148656128
2018-04-16 3670 3333.85115901804
2018-04-17 3710 3430.43870824165
2018-04-18 3710 3440.24164903732
2018-04-19 3690 3567.2798155966
2018-04-20 3700 3704.90421536319
2018-04-21 3760 3671.22193846419
2018-04-22 3800 3598.61953878377
2018-04-23 3800 3571.1346858948
2018-04-24 3750 3552.63756577937
2018-04-25 3720 3508.2265199769
2018-04-26 3710 3441.81942283902
2018-04-27 3730 3387.81520234307
2018-04-28 3780 3362.20898155102
2018-04-29 3850 3344.47273600511
2018-04-30 3890 3371.73432989849
2018-05-01 3900 3406.94622842709
2018-05-02 3840 3378.01946984857
2018-05-03 3730 3306.99136292691
2018-05-04 3630 3226.2946420118
2018-05-05 3550 3108.04510587945
2018-05-06 3470 3004.65412896577
2018-05-07 3430 3065.10461001449
2018-05-08 3410 3149.61041605922
2018-05-09 3450 3078.9231583615
2018-05-10 3460 2954.44006896013
2018-05-11 3440 2865.99690469899
2018-05-12 3370 2797.82071594094
2018-05-13 3320 2725.07516844947
2018-05-14 3260 2643.3977639519
2018-05-15 3200 2573.58799895022
2018-05-16 3130 2509.29517339263
2018-05-17 3090 2523.72475488209
2018-05-18 3100 2610.99419082579
2018-05-19 3230 2662.78933529828
2018-05-20 3430 2661.21989021416
2018-05-21 3570 2616.62016349099
2018-05-22 3620 2632.7510957329
2018-05-23 3560 2699.14718388744
2018-05-24 3410 2711.51659296631
2018-05-25 3310 2637.53873366938
2018-05-26 3170 2516.46778713914
2018-05-27 3070 2427.43450650662
2018-05-28 3030 2386.5609161603
2018-05-29 3030 2342.75596371491
2018-05-30 3060 2298.39400842494
2018-05-31 3070 2271.79402201221
2018-06-01 3070 2282.5084728706
2018-06-02 3060 2282.68372735322
2018-06-03 3070 2235.32720060767
2018-06-04 3070 2203.08467334154
2018-06-05 3070 2211.29105686496
2018-06-06 3080 2221.40189453683
2018-06-07 3100 2202.81278374454
2018-06-08 3090 2189.69893564572
2018-06-09 3060 2218.32863062229
2018-06-10 3010 2289.51318528724
2018-06-11 2990 2336.96835468552
2018-06-12 3010 2279.18247831844
2018-06-13 3020 2202.54066336615
2018-06-14 2990 2156.03300025902
2018-06-15 2960 2146.94217068058
2018-06-16 2980 2195.56580441689
2018-06-17 3140 2278.97187788266
2018-06-18 3430 2353.30510654287
2018-06-19 3610 2450.96393010677
2018-06-20 3590 2561.12838675637
2018-06-21 3420 2568.97152619713
2018-06-22 3180 2454.23507075726
2018-06-23 2970 2295.1823461608
2018-06-24 2840 2177.66242224796
2018-06-25 2750 2110.37258638856
2018-06-26 2690 2050.54443662897
2018-06-27 2640 1981.05319081697
2018-06-28 2590 1913.92834192446
2018-06-29 2560 1879.76282858575
2018-06-30 2540 1854.40203638456
2018-07-01 2540 1855.45172399258
2018-07-02 2710 1914.18190946508
2018-07-03 3030 1983.17055902854
2018-07-04 3200 2076.31246739283
2018-07-05 3170 2205.20466601523
2018-07-06 3000 2261.14445602401
2018-07-07 2810 2188.03659369985
2018-07-08 2650 2078.60242436521
2018-07-09 2580 1998.81497602681
2018-07-10 2600 1959.15162001892
2018-07-11 2710 1955.35050271325
2018-07-12 2770 1977.0743612768
2018-07-13 2740 2090.56862260715
2018-07-14 2670 2217.68689197587
2018-07-15 2620 2218.86067110229
2018-07-16 2550 2120.73244263488
2018-07-17 2480 2000.53766237927
2018-07-18 2410 1904.78062757993
2018-07-19 2330 1830.17541178325
2018-07-20 2250 1764.18368743686
2018-07-21 2210 1697.80612095486
2018-07-22 2200 1647.25294198541
2018-07-23 2190 1647.32678474203
2018-07-24 2170 1670.28457478303
