date OBS SIM
2018-01-01 2970 2143.9945548099
2018-01-02 2970 2170.86870966203
2018-01-03 2910 2130.72007458534
2018-01-04 3060 2088.32604008316
2018-01-05 3370 2051.7564848781
2018-01-06 3560 2038.6639605335
2018-01-07 3670 2100.54363662374
2018-01-08 3840 2209.57144938353
2018-01-09 4130 2357.08516093633
2018-01-10 4460 2616.53298265649
2018-01-11 4530 3039.7518123193
2018-01-12 4690 3530.24640840067
2018-01-13 4820 3909.79394440365
2018-01-14 4850 4013.636431532
2018-01-15 4790 3902.19444339656
2018-01-16 4720 3703.49204483819
2018-01-17 4520 3462.80347248542
2018-01-18 4290 3210.59545536149
2018-01-19 3960 2987.46767824364
2018-01-20 3780 2768.76919026328
2018-01-21 3620 2588.63230153409
2018-01-22 3610 2460.79166749232
2018-01-23 3780 2426.4833728873
2018-01-24 3930 2534.96224775017
2018-01-25 4020 2727.37304837804
2018-01-26 4070 2901.03624650868
2018-01-27 4080 2944.45123262915
2018-01-28 4140 2868.05809166878
2018-01-29 4200 2724.06984385377
2018-01-30 4210 2611.13036073269
2018-01-31 4240 2609.00812592992
2018-02-01 4200 2673.92713927164
2018-02-02 4050 2723.80150590596
2018-02-03 3970 2756.15309210374
2018-02-04 3900 2789.28724013687
2018-02-05 3810 2838.64572623314
2018-02-06 3780 2801.31423819046
2018-02-07 3830 2698.05769256848
2018-02-08 3620 2603.54158550413
2018-02-09 3510 2534.99834485556
2018-02-10 3410 2472.15506773342
2018-02-11 3320 2372.68092190313
2018-02-12 3270 2236.73955904915
2018-02-13 3170 2113.13899405658
2018-02-14 3090 2019.91238352439
2018-02-15 2950 1956.01971933038
2018-02-16 2920 1905.92814012382
2018-02-17 2860 1851.47717735645
2018-02-18 2870 1794.61641099987
2018-02-19 2850 1743.97769334455
2018-02-20 2900 1709.90682680866
2018-02-21 2900 1682.67798232751
2018-02-22 2940 1657.97570471863
2018-02-23 2990 1640.85410211802
2018-02-24 2990 1611.26958754864
2018-02-25 2980 1571.95232427899
2018-02-26 2970 1531.48561309875
2018-02-27 2920 1493.48732414926
2018-02-28 2740 1457.13624397335
2018-03-01 2680 1422.84381232563
2018-03-02 2610 1390.60094406487
2018-03-03 2530 1360.18378194483
2018-03-04 2430 1331.4359897229
2018-03-05 2390 1304.22847589888
2018-03-06 2380 1288.84714859604
2018-03-07 2290 1279.38900475122
2018-03-08 2320 1295.23313541508
2018-03-09 2360 1344.85262000109
2018-03-10 2450 1419.1663849205
2018-03-11 2670 1466.74162770722
2018-03-12 2820 1525.0178003449
2018-03-13 2930 1626.34514277958
2018-03-14 3080 1765.55686602955
2018-03-15 3170 1934.52147990251
2018-03-16 3370 2129.15320090675
2018-03-17 3570 2304.57885840333
2018-03-18 3670 2503.00146898984
2018-03-19 3710 2807.67556787873
2018-03-20 3750 3051.46048714843
2018-03-21 3870 3118.66697966483
2018-03-22 3890 3042.11031066626
2018-03-23 3870 2925.69636791685
2018-03-24 3770 2790.00417871099
2018-03-25 3660 2646.81643808392
2018-03-26 3510 2511.4013650551
2018-03-27 3250 2394.53255067257
2018-03-28 3070 2281.33021943052
2018-03-29 2940 2171.27182778986
2018-03-30 2840 2080.1383973368
2018-03-31 2780 2035.54446508776
2018-04-01 2720 2072.25728704719
2018-04-02 2830 2227.15625350288
2018-04-03 3100 2404.37359525305
2018-04-04 3310 2577.59062648365
2018-04-05 3440 2704.37881538111
2018-04-06 3460 2779.77714025409
2018-04-07 3490 2872.70161305957
2018-04-08 3520 2957.77316529629
2018-04-09 3590 3003.93076429667
2018-04-10 3580 3013.14487817012
2018-04-11 3520 3021.96032584438
2018-04-12 3500 3061.71463349592
2018-04-13 3500 3104.14767787599
2018-04-14 3520 3116.7627691959
2018-04-15 3590 3151.53961200267
2018-04-16 3720 3299.92880190107
2018-04-17 3710 3425.68227263221
2018-04-18 3690 3440.48302808965
2018-04-19 3680 3530.80597793816
2018-04-20 3680 3693.35418471887
2018-04-21 3760 3691.75533054923
2018-04-22 3760 3616.19365361984
2018-04-23 3730 3578.67671526117
2018-04-24 3670 3562.55151838991
2018-04-25 3620 3524.36034604925
2018-04-26 3660 3461.30238443916
2018-04-27 3680 3400.43399440369
2018-04-28 3820 3371.56258593529
2018-04-29 3900 3349.15562398359
2018-04-30 4010 3365.97812177677
2018-05-01 4010 3405.98142413969
2018-05-02 3970 3393.47062304344
2018-05-03 3830 3326.71639011416
2018-05-04 3690 3249.69712499275
2018-05-05 3620 3140.86090729781
2018-05-06 3500 3022.27561492404
2018-05-07 3420 3042.35864275266
2018-05-08 3410 3145.69803476408
2018-05-09 3450 3107.13952864956
2018-05-10 3470 2983.57663137665
2018-05-11 3460 2885.6259703738
2018-05-12 3400 2816.07869036732
2018-05-13 3320 2745.20109603511
2018-05-14 3290 2664.39772095529
2018-05-15 3220 2602.09673922408
2018-05-16 3140 2525.97275446252
2018-05-17 3070 2513.69537693245
2018-05-18 3060 2596.62716035239
2018-05-19 3190 2657.28576929023
