date;Fel_Q;waste
2019-05-23 0:00;159,00;73
2019-05-24 0:00;193,67;78
2019-05-25 0:00;226,33;18
2019-05-26 0:00;241,33;8
2019-05-27 0:00;248,00;9
2019-05-28 0:00;254,00;8
2019-05-29 0:00;256,00;0
2019-05-30 0:00;249,67;0
2019-05-31 0:00;259,33;22
2019-06-01 0:00;270,33;6
2019-06-02 0:00;262,00;0
2019-06-03 0:00;248,00;0
2020-02-03 0:00;152,67;25
2020-02-04 0:00;192,00;47
2020-02-05 0:00;224,00;0
2020-02-06 0:00;245,67;15
2020-02-07 0:00;247,00;11
2020-02-08 0:00;242,60;4
2020-02-09 0:00;233,00;0
2020-06-21 0:00;191,00;115
2020-06-22 0:00;198,00;12
2020-06-23 0:00;210,50;4
2021-01-24 0:00;236,00;25
2021-01-25 0:00;264,00;15
2021-01-26 0:00;322,00;35
2021-01-27 0:00;365,00;22
2021-01-28 0:00;385,00;14
2021-01-29 0:00;385,00;11
2021-01-30 0:00;374,00;4
2021-01-31 0:00;363,00;3
2021-02-01 0:00;348,00;1
2021-02-05 0:00;324,00;47
2021-02-06 0:00;350,00;11
2021-02-07 0:00;358,00;8
2021-02-08 0:00;354,00;7
2021-02-09 0:00;367,00;0
2021-02-10 0:00;425,50;8
2021-11-30 0:00;158,49;45
2021-12-01 0:00;153,67;15
2021-12-02 0:00;133,38;0
2021-12-03 0:00;134,64;5
2021-12-04 0:00;172,93;75
2021-12-05 0:00;165,28;15
2022-01-03 0:00;185,61;25
2022-01-04 0:00;189,41;27
2022-01-05 0:00;201,98;15
2022-01-06 0:00;221,57;46
2022-01-07 0:00;243,18;12
2022-01-08 0:00;249,41;12
2022-01-09 0:00;245,53;0
2022-01-10 0:00;241,03;0
2022-02-18 0:00;192,74;265
2022-02-19 0:00;227,59;40
2022-02-20 0:00;237,50;8
2022-02-21 0:00;244,43;0
2022-04-02 0:00;220,1;99
2022-04-03 0:00;265,5;15
2022-04-04 0:00;288,7333333;15
2022-04-05 0:00;285,7333333;11
